Name,Folder,Steps,Expected,Id
Три add_task без приглашения — 10 баллов,"""[Story] - Начисление Баллов при активности лида""","Лид в едином скоринге; в workspace выполнены 3 события `add_task`, приглашений не было, возврат после 24 ч не зафиксирован",балл активности = **10** (критерий «≥ 1 действие»),tc-5294830-1
add_contact и возврат через сутки — 35,"""[Story] - Начисление Баллов при активности лида""","Лид в едином скоринге; выполнено одно событие `add_contact`; первый вход в workspace — 1 марта 10:00, второй вход любого пользователя — 2 марта 11:00",балл активности = **35** (10 + 25 за возврат),tc-5294830-2
Приглашение и шесть событий — 50,"""[Story] - Начисление Баллов при активности лида""","Лид в едином скоринге; выполнены `colleague_invitation`, `add_task`, `add_task`, `edit_task`, `finish_task`, `add_project`; возврат не зафиксирован",балл активности = **50** (25 + 10 + 15; шесть фактических событий из каталога),tc-5294830-3
Одинаковый балл у лидов одного workspace,"""[Story] - Начисление Баллов при активности лида""",Два лида одной компании и одного workspace; в workspace выполнено 2 события `add_task`,у обоих лидов одинаковый балл активности = **10**,tc-5294830-4
Приглашение сотрудника — +25 однократно,"""[Story] - Начисление Баллов при активности лида""",В workspace зафиксировано событие `colleague_invitation` (один раз),к баллу активности добавляется **+25** (однократно; повторные приглашения не увеличивают этот критерий),tc-5294830-5
Первое действие из каталога — +10,"""[Story] - Начисление Баллов при активности лида""",В workspace зафиксировано ≥ 1 событие из каталога (без приглашения),к баллу активности добавляется **+10** (однократно; дополнительные события до порога 5 не добавляют второй +10),tc-5294830-6
Четыре события — только +10,"""[Story] - Начисление Баллов при активности лида""",В workspace накоплено 4 фактических события из каталога (без приглашения и возврата),балл активности = **10** (только критерий «≥ 1 действие»; критерий «≥ 5 действий» ещё не сработал),tc-5294830-7
Пятое событие — +15 за ≥5 действий,"""[Story] - Начисление Баллов при активности лида""",В workspace накоплено 5-е фактическое событие из каталога,к баллу активности добавляется **+15** за критерий «≥ 5 действий» (однократно),tc-5294830-8
Повторные события в счётчике ≥5,"""[Story] - Начисление Баллов при активности лида""",Повторные однотипные события из каталога (например три `add_task`),каждое учитывается как +1 к суммарному счётчику для критерия «≥ 5 действий»,tc-5294830-9
Приглашение в счётчике ≥5 действий,"""[Story] - Начисление Баллов при активности лида""",Событие `colleague_invitation`,учитывается в суммарном счётчике фактических событий для критерия «≥ 5 действий» (как в примере 3),tc-5294830-10
Возврат после 24 ч — +25,"""[Story] - Начисление Баллов при активности лида""",Первый фактический вход любого пользователя workspace после регистрации workspace; второй вход любого пользователя не ранее чем через 24 ч после первого,к баллу активности добавляется **+25** за возврат (однократно),tc-5294830-11
Повторный вход раньше 24 ч — без +25,"""[Story] - Начисление Баллов при активности лида""",Первый вход в workspace; повторный вход любого пользователя менее чем через 24 ч после первого,**+25** за возврат не начисляется,tc-5294830-12
Все критерии — максимум 75,"""[Story] - Начисление Баллов при активности лида""","В workspace сработали все четыре критерия (приглашение, ≥1 действие, ≥5 действий, возврат после 24 ч)",балл активности = **75** (максимум; сверх лимита не растёт),tc-5294830-13
Пересчёт при новом событии каталога,"""[Story] - Начисление Баллов при активности лида""",После нового события из каталога в workspace,"пересчитываются критерии приглашения, «≥ 1 действие», «≥ 5 действий» и итоговый балл активности для лидов этой компании/workspace",tc-5294830-14
Пересчёт при новом входе пользователя,"""[Story] - Начисление Баллов при активности лида""",После нового входа пользователя workspace,проверяется критерий возврата после 24 ч и при необходимости пересчитывается балл активности,tc-5294830-15
Событие вне каталога игнорируется,"""[Story] - Начисление Баллов при активности лида""",События только из перечисленного каталога участвуют в расчёте; событие вне каталога,не увеличивает счётчик действий и не меняет балл активности,tc-5294830-16
Разные workspace — разные баллы,"""[Story] - Начисление Баллов при активности лида""",Лиды одной компании с разными workspace,"баллы активности могут различаться (балл привязан к workspace, не к компании глобально)",tc-5294830-17
Один add_project — 10 баллов,"""[Story] - Начисление Баллов при активности лида""",Выполнено одно событие `add_project` в workspace без других событий каталога,балл активности = **10**,tc-5294830-18
